"lang","class","subject","question","option1","option2","option3","option4","answer","difficulty","topic"
"mr","6","English","योग्य article निवडा: ___ orange.","A","An","The","None","An","easy","General"
"en","6","English","What is the opposite of old?","Young","Big","Tall","Thin","Young","easy","General"
"hi","6","English","old का विलोम क्या है?","Young","Big","Tall","Thin","Young","easy","General"
"mr","6","English","old चा विरुद्धार्थी शब्द कोणता?","Young","Big","Tall","Thin","Young","easy","General"
"en","6","English","Choose the synonym of quick.","Fast","Slow","Late","Lazy","Fast","medium","General"
"hi","6","English","quick का समानार्थी शब्द चुनें।","Fast","Slow","Late","Lazy","Fast","medium","General"
"mr","6","English","quick चा समानार्थी शब्द निवडा.","Fast","Slow","Late","Lazy","Fast","medium","General"
"en","6","English","Which punctuation shows excitement?","Comma","Question mark","Exclamation mark","Colon","Exclamation mark","easy","General"
"hi","6","English","उत्साह दिखाने के लिए कौन-सा punctuation प्रयोग होता है?","Comma","Question mark","Exclamation mark","Colon","Exclamation mark","easy","General"
"mr","6","English","उत्साह दाखवण्यासाठी कोणते punctuation वापरतात?","Comma","Question mark","Exclamation mark","Colon","Exclamation mark","easy","General"
"hi","6","English","इनमें से सर्वनाम चुनें।","Book","She","Pen","Desk","She","easy","General"
"mr","6","English","यापैकी सर्वनाम निवडा.","Book","She","Pen","Desk","She","easy","General"
"en","6","English","Choose the past tense of write.","Written","Wrote","Writing","Writes","Wrote","easy","General"
"hi","6","English","write का past tense चुनें।","Written","Wrote","Writing","Writes","Wrote","easy","General"
"mr","6","English","write चा past tense निवडा.","Written","Wrote","Writing","Writes","Wrote","easy","General"
"hi","6","English","इनमें से विशेषण चुनें।","Tall","Run","Jump","Slowly","Tall","easy","General"
"mr","6","English","यापैकी विशेषण निवडा.","Tall","Run","Jump","Slowly","Tall","easy","General"
"en","6","English","What is the plural of woman?","Womans","Womanes","Women","Wimans","Women","medium","General"
"hi","6","English","woman का बहुवचन क्या है?","Womans","Womanes","Women","Wimans","Women","medium","General"
"mr","6","English","woman चे अनेकवचन काय आहे?","Womans","Womanes","Women","Wimans","Women","medium","General"
"en","6","English","Choose the correct preposition: The cat is ___ the chair.","On","At","In","To","On","easy","General"
"hi","6","English","सही preposition चुनें: बिल्ली कुर्सी ___ है।","On","At","In","To","On","easy","General"
"mr","6","English","योग्य preposition निवडा: मांजर खुर्ची ___ आहे.","On","At","In","To","On","easy","General"
"hi","6","English","इनमें से क्रिया विशेषण चुनें।","Carefully","Dog","Blue","Apple","Carefully","medium","General"
"mr","6","English","यापैकी क्रियाविशेषण निवडा.","Carefully","Dog","Blue","Apple","Carefully","medium","General"
"en","6","English","Choose the opposite of up.","High","Top","Down","Over","Down","easy","General"
"hi","6","English","up का विलोम चुनें।","High","Top","Down","Over","Down","easy","General"
"mr","6","English","up चा विरुद्धार्थी शब्द निवडा.","High","Top","Down","Over","Down","easy","General"
"en","6","English","Choose the plural of man.","Mans","Men","Manes","Mens","Men","easy","General"
"hi","6","English","man का बहुवचन चुनें।","Mans","Men","Manes","Mens","Men","easy","General"
"mr","6","English","man चे अनेकवचन निवडा.","Mans","Men","Manes","Mens","Men","easy","General"
"en","6","English","Choose the correct article: ___ elephant.","A","An","The","None","An","easy","General"
"hi","6","English","सही article चुनें: ___ elephant.","A","An","The","None","An","easy","General"
"mr","6","English","योग्य article निवडा: ___ elephant.","A","An","The","None","An","easy","General"
"en","6","English","What is the opposite of happy?","Joyful","Sad","Smile","Laugh","Sad","easy","General"
"hi","6","English","happy का विलोम क्या है?","Joyful","Sad","Smile","Laugh","Sad","easy","General"
"mr","6","English","happy चा विरुद्धार्थी शब्द कोणता?","Joyful","Sad","Smile","Laugh","Sad","easy","General"
"en","6","English","Choose the synonym of large.","Tiny","Big","Thin","Low","Big","medium","General"
"hi","6","English","large का समानार्थी शब्द चुनें।","Tiny","Big","Thin","Low","Big","medium","General"
"mr","6","English","large चा समानार्थी शब्द निवडा.","Tiny","Big","Thin","Low","Big","medium","General"
"en","6","English","Which punctuation separates items in a list?","Question mark","Comma","Colon","Full stop","Comma","easy","General"
"hi","6","English","सूची में items अलग करने के लिए कौन-सा punctuation प्रयोग होता है?","Question mark","Comma","Colon","Full stop","Comma","easy","General"
"mr","6","English","यादीतील गोष्टी वेगळ्या करण्यासाठी कोणते punctuation वापरतात?","Question mark","Comma","Colon","Full stop","Comma","easy","General"
"en","6","English","Choose the past tense of see.","Seen","Saw","Seeing","Sees","Saw","easy","General"
"hi","6","English","see का past tense चुनें।","Seen","Saw","Seeing","Sees","Saw","easy","General"
"mr","6","English","see चा past tense निवडा.","Seen","Saw","Seeing","Sees","Saw","easy","General"
"en","6","English","What is the plural of goose?","Gooses","Geese","Goosees","Geeses","Geese","medium","General"
"hi","6","English","goose का बहुवचन क्या है?","Gooses","Geese","Goosees","Geeses","Geese","medium","General"
"mr","6","English","goose चे अनेकवचन काय आहे?","Gooses","Geese","Goosees","Geeses","Geese","medium","General"
"en","6","English","Choose the correct preposition: The ball is ___ the box.","In","At","To","With","In","easy","General"
"hi","6","English","सही preposition चुनें: गेंद डिब्बे ___ है।","In","At","To","With","In","easy","General"
"mr","6","English","योग्य preposition निवडा: चेंडू बॉक्स ___ आहे.","In","At","To","With","In","easy","General"
"en","6","English","Choose the opposite of near.","Beside","Close","Far","With","Far","easy","General"
"hi","6","English","near का विलोम चुनें।","Beside","Close","Far","With","Far","easy","General"
"mr","6","English","near चा विरुद्धार्थी शब्द निवडा.","Beside","Close","Far","With","Far","easy","General"
"en","6","English","Choose the plural of leaf.","Leafs","Leaves","Leafes","Leavs","Leaves","easy","General"
"hi","6","English","leaf का बहुवचन चुनें।","Leafs","Leaves","Leafes","Leavs","Leaves","easy","General"
"mr","6","English","leaf चे अनेकवचन निवडा.","Leafs","Leaves","Leafes","Leavs","Leaves","easy","General"
"en","6","English","Choose the correct article: ___ hour.","A","An","The","None","An","medium","General"
"hi","6","English","सही article चुनें: ___ hour.","A","An","The","None","An","medium","General"
"mr","6","English","योग्य article निवडा: ___ hour.","A","An","The","None","An","medium","General"
"en","6","English","What is the opposite of clean?","Wash","Dirty","Soap","Pure","Dirty","easy","General"
"hi","6","English","clean का विलोम क्या है?","Wash","Dirty","Soap","Pure","Dirty","easy","General"
"mr","6","English","clean चा विरुद्धार्थी शब्द कोणता?","Wash","Dirty","Soap","Pure","Dirty","easy","General"
"en","6","English","Choose the synonym of smart.","Dull","Clever","Weak","Late","Clever","medium","General"
"hi","6","English","smart का समानार्थी शब्द चुनें।","Dull","Clever","Weak","Late","Clever","medium","General"
"mr","6","English","smart चा समानार्थी शब्द निवडा.","Dull","Clever","Weak","Late","Clever","medium","General"
"en","6","English","Which punctuation is used before a list?","Comma","Colon","Question mark","Dash","Colon","easy","General"
"hi","6","English","सूची शुरू करने से पहले कौन-सा punctuation प्रयोग होता है?","Comma","Colon","Question mark","Dash","Colon","easy","General"
"mr","6","English","यादी सुरू करण्यापूर्वी कोणते punctuation वापरतात?","Comma","Colon","Question mark","Dash","Colon","easy","General"
"en","6","English","Choose the past tense of come.","Comed","Came","Coming","Comes","Came","easy","General"
"hi","6","English","come का past tense चुनें।","Comed","Came","Coming","Comes","Came","easy","General"
"mr","6","English","come चा past tense निवडा.","Comed","Came","Coming","Comes","Came","easy","General"
"en","6","English","What is the plural of knife?","Knifes","Knives","Knifees","Knifs","Knives","medium","General"
"hi","6","English","knife का बहुवचन क्या है?","Knifes","Knives","Knifees","Knifs","Knives","medium","General"
"mr","6","English","knife चे अनेकवचन काय आहे?","Knifes","Knives","Knifees","Knifs","Knives","medium","General"
"en","6","English","Choose the correct preposition: The picture is ___ the wall.","On","At","In","By","On","easy","General"
"hi","6","English","सही preposition चुनें: चित्र दीवार ___ है।","On","At","In","By","On","easy","General"
"mr","6","English","योग्य preposition निवडा: चित्र भिंती ___ आहे.","On","At","In","By","On","easy","General"
"en","6","English","Choose the opposite of inside.","Within","Outer","Outside","Under","Outside","easy","General"
"hi","6","English","inside का विलोम चुनें।","Within","Outer","Outside","Under","Outside","easy","General"
"mr","6","English","inside चा विरुद्धार्थी शब्द निवडा.","Within","Outer","Outside","Under","Outside","easy","General"
"en","6","English","Choose the plural of wolf.","Wolfs","Wolves","Wolfes","Wolvez","Wolves","medium","General"
"hi","6","English","wolf का बहुवचन चुनें।","Wolfs","Wolves","Wolfes","Wolvez","Wolves","medium","General"
"mr","6","English","wolf चे अनेकवचन निवडा.","Wolfs","Wolves","Wolfes","Wolvez","Wolves","medium","General"
"en","6","English","Choose the correct article: ___ honest boy.","A","An","The","None","An","medium","General"
"hi","6","English","सही article चुनें: ___ honest boy.","A","An","The","None","An","medium","General"
"mr","6","English","योग्य article निवडा: ___ honest boy.","A","An","The","None","An","medium","General"
"en","6","English","What is the opposite of strong?","Powerful","Weak","Heavy","Fast","Weak","easy","General"
"hi","6","English","strong का विलोम क्या है?","Powerful","Weak","Heavy","Fast","Weak","easy","General"
"mr","6","English","strong चा विरुद्धार्थी शब्द कोणता?","Powerful","Weak","Heavy","Fast","Weak","easy","General"
"en","6","English","Choose the synonym of silent.","Quiet","Loud","Noisy","Busy","Quiet","medium","General"
"hi","6","English","silent का समानार्थी शब्द चुनें।","Quiet","Loud","Noisy","Busy","Quiet","medium","General"
"mr","6","English","silent चा समानार्थी शब्द निवडा.","Quiet","Loud","Noisy","Busy","Quiet","medium","General"
"en","6","English","Which punctuation is used to show possession?","Comma","Apostrophe","Colon","Hyphen","Apostrophe","medium","General"
"hi","6","English","स्वामित्व दिखाने के लिए कौन-सा punctuation प्रयोग होता है?","Comma","Apostrophe","Colon","Hyphen","Apostrophe","medium","General"
"mr","6","English","मालकी दर्शवण्यासाठी कोणते punctuation वापरतात?","Comma","Apostrophe","Colon","Hyphen","Apostrophe","medium","General"
"en","6","English","Choose the past tense of run.","Ran","Runed","Running","Runs","Ran","easy","General"
"hi","6","English","run का past tense चुनें।","Ran","Runed","Running","Runs","Ran","easy","General"
"mr","6","English","run चा past tense निवडा.","Ran","Runed","Running","Runs","Ran","easy","General"
"en","6","English","What is the plural of life?","Lifes","Lives","Lifees","Livs","Lives","medium","General"
"hi","6","English","life का बहुवचन क्या है?","Lifes","Lives","Lifees","Livs","Lives","medium","General"
"mr","6","English","life चे अनेकवचन काय आहे?","Lifes","Lives","Lifees","Livs","Lives","medium","General"
"en","6","English","Choose the correct preposition: She sat ___ the chair.","On","At","Over","Into","On","easy","General"
"hi","6","English","सही preposition चुनें: वह कुर्सी ___ बैठी।","On","At","Over","Into","On","easy","General"
"mr","6","English","योग्य preposition निवडा: ती खुर्ची ___ बसली.","On","At","Over","Into","On","easy","General"
"en","6","English","Choose the opposite of early.","Before","Soon","Late","Now","Late","easy","General"
"hi","6","English","early का विलोम चुनें।","Before","Soon","Late","Now","Late","easy","General"
"mr","6","English","early चा विरुद्धार्थी शब्द निवडा.","Before","Soon","Late","Now","Late","easy","General"
"en","6","English","Choose the plural of box.","Boxs","Boxes","Boxeses","Boxen","Boxes","easy","General"
"hi","6","English","box का बहुवचन चुनें।","Boxs","Boxes","Boxeses","Boxen","Boxes","easy","General"
"mr","6","English","box चे अनेकवचन निवडा.","Boxs","Boxes","Boxeses","Boxen","Boxes","easy","General"
"en","6","English","Choose the correct article: ___ university.","A","An","The","None","A","medium","General"
"hi","6","English","सही article चुनें: ___ university.","A","An","The","None","A","medium","General"
"mr","6","English","योग्य article निवडा: ___ university.","A","An","The","None","A","medium","General"
"en","6","English","What is the opposite of difficult?","Hard","Easy","Tough","Complex","Easy","easy","General"
"hi","6","English","difficult का विलोम क्या है?","Hard","Easy","Tough","Complex","Easy","easy","General"
"mr","6","English","difficult चा विरुद्धार्थी शब्द कोणता?","Hard","Easy","Tough","Complex","Easy","easy","General"
"en","6","English","Choose the synonym of brave.","Cowardly","Courageous","Weak","Lazy","Courageous","medium","General"
"hi","6","English","brave का समानार्थी शब्द चुनें।","Cowardly","Courageous","Weak","Lazy","Courageous","medium","General"
"mr","6","English","brave चा समानार्थी शब्द निवडा.","Cowardly","Courageous","Weak","Lazy","Courageous","medium","General"
"en","6","English","Which punctuation joins two related sentences?","Comma","Semicolon","Question mark","Apostrophe","Semicolon","hard","General"
"hi","6","English","दो संबंधित वाक्यों को जोड़ने के लिए कौन-सा punctuation प्रयोग होता है?","Comma","Semicolon","Question mark","Apostrophe","Semicolon","hard","General"
"mr","6","English","दोन संबंधित वाक्य जोडण्यासाठी कोणते punctuation वापरतात?","Comma","Semicolon","Question mark","Apostrophe","Semicolon","hard","General"
"en","6","English","Choose the past tense of drink.","Drinked","Drank","Drunk","Drinks","Drank","easy","General"
"hi","6","English","drink का past tense चुनें।","Drinked","Drank","Drunk","Drinks","Drank","easy","General"
"mr","6","English","drink चा past tense निवडा.","Drinked","Drank","Drunk","Drinks","Drank","easy","General"
"en","6","English","What is the plural of baby?","Babys","Babies","Babyes","Babyses","Babies","easy","General"
"hi","6","English","baby का बहुवचन क्या है?","Babys","Babies","Babyes","Babyses","Babies","easy","General"
"mr","6","English","baby चे अनेकवचन काय आहे?","Babys","Babies","Babyes","Babyses","Babies","easy","General"
"en","6","English","Choose the correct preposition: He is good ___ maths.","At","On","In","For","At","easy","General"
"hi","6","English","सही preposition चुनें: वह maths ___ अच्छा है।","At","On","In","For","At","easy","General"
"mr","6","English","योग्य preposition निवडा: तो maths ___ चांगला आहे.","At","On","In","For","At","easy","General"
"en","6","English","Choose the opposite of open.","Unlock","Wide","Close","Start","Close","easy","General"
"hi","6","English","open का विलोम चुनें।","Unlock","Wide","Close","Start","Close","easy","General"
"mr","6","English","open चा विरुद्धार्थी शब्द निवडा.","Unlock","Wide","Close","Start","Close","easy","General"
"en","6","English","Choose the plural of city.","Citys","Cities","Cityes","Citiez","Cities","easy","General"
"hi","6","English","city का बहुवचन चुनें।","Citys","Cities","Cityes","Citiez","Cities","easy","General"
"mr","6","English","city चे अनेकवचन निवडा.","Citys","Cities","Cityes","Citiez","Cities","easy","General"
"en","6","English","Choose the correct article: ___ European country.","A","An","The","None","A","medium","General"
"hi","6","English","सही article चुनें: ___ European country.","A","An","The","None","A","medium","General"
"mr","6","English","योग्य article निवडा: ___ European country.","A","An","The","None","A","medium","General"
"en","6","English","What is the opposite of rich?","Wealthy","Poor","Costly","Expensive","Poor","easy","General"
"hi","6","English","rich का विलोम क्या है?","Wealthy","Poor","Costly","Expensive","Poor","easy","General"
"mr","6","English","rich चा विरुद्धार्थी शब्द कोणता?","Wealthy","Poor","Costly","Expensive","Poor","easy","General"
"en","6","English","Choose the synonym of tiny.","Huge","Small","Long","Wide","Small","medium","General"
"hi","6","English","tiny का समानार्थी शब्द चुनें।","Huge","Small","Long","Wide","Small","medium","General"
"mr","6","English","tiny चा समानार्थी शब्द निवडा.","Huge","Small","Long","Wide","Small","medium","General"
"en","6","English","Which punctuation is used to separate clauses?","Slash","Comma","Star","Bracket","Comma","medium","General"
"hi","6","English","clauses अलग करने के लिए कौन-सा punctuation प्रयोग होता है?","Slash","Comma","Star","Bracket","Comma","medium","General"
"mr","6","English","clauses वेगळे करण्यासाठी कोणते punctuation वापरतात?","Slash","Comma","Star","Bracket","Comma","medium","General"
"en","6","English","Choose the past tense of break.","Breaked","Broke","Broken","Breaks","Broke","easy","General"
"hi","6","English","break का past tense चुनें।","Breaked","Broke","Broken","Breaks","Broke","easy","General"
"mr","6","English","break चा past tense निवडा.","Breaked","Broke","Broken","Breaks","Broke","easy","General"
"en","6","English","What is the plural of potato?","Potatos","Potatoes","Potatoes","Potatose","Potatoes","easy","General"
"hi","6","English","potato का बहुवचन क्या है?","Potatos","Potatoes","Potatoes","Potatose","Potatoes","easy","General"
"mr","6","English","potato चे अनेकवचन काय आहे?","Potatos","Potatoes","Potatoes","Potatose","Potatoes","easy","General"
"en","6","English","Choose the correct preposition: He arrived ___ time.","In","At","On","By","On","medium","General"
"hi","6","English","सही preposition चुनें: वह ___ time पहुँचा।","In","At","On","By","On","medium","General"
"mr","6","English","योग्य preposition निवडा: तो ___ time आला.","In","At","On","By","On","medium","General"
"en","6","English","Choose the opposite of full.","Filled","Half","Empty","Loaded","Empty","easy","General"
"hi","6","English","full का विलोम चुनें।","Filled","Half","Empty","Loaded","Empty","easy","General"
"mr","6","English","full चा विरुद्धार्थी शब्द निवडा.","Filled","Half","Empty","Loaded","Empty","easy","General"
"en","6","English","Choose the plural of bus.","Buss","Buses","Busies","Busis","Buses","easy","General"
"hi","6","English","bus का बहुवचन चुनें।","Buss","Buses","Busies","Busis","Buses","easy","General"
"mr","6","English","bus चे अनेकवचन निवडा.","Buss","Buses","Busies","Busis","Buses","easy","General"
"en","6","English","Choose the correct article: ___ one-eyed man.","A","An","The","None","A","hard","General"
"hi","6","English","सही article चुनें: ___ one-eyed man.","A","An","The","None","A","hard","General"
"mr","6","English","योग्य article निवडा: ___ one-eyed man.","A","An","The","None","A","hard","General"
"en","6","English","What is the opposite of noisy?","Loud","Silent","Busy","Crowded","Silent","easy","General"
"hi","6","English","noisy का विलोम क्या है?","Loud","Silent","Busy","Crowded","Silent","easy","General"
"mr","6","English","noisy चा विरुद्धार्थी शब्द कोणता?","Loud","Silent","Busy","Crowded","Silent","easy","General"
"en","6","English","Choose the synonym of angry.","Happy","Mad","Joyful","Funny","Mad","medium","General"
"hi","6","English","angry का समानार्थी शब्द चुनें।","Happy","Mad","Joyful","Funny","Mad","medium","General"
"mr","6","English","angry चा समानार्थी शब्द निवडा.","Happy","Mad","Joyful","Funny","Mad","medium","General"
"en","6","English","Which punctuation is used in short forms like don't?","Colon","Hyphen","Apostrophe","Comma","Apostrophe","easy","General"
"hi","6","English","don't जैसे short forms में कौन-सा punctuation प्रयोग होता है?","Colon","Hyphen","Apostrophe","Comma","Apostrophe","easy","General"
"mr","6","English","don't सारख्या short forms मध्ये कोणते punctuation वापरतात?","Colon","Hyphen","Apostrophe","Comma","Apostrophe","easy","General"
"en","6","English","Choose the past tense of fly.","Flied","Flew","Flown","Flys","Flew","easy","General"
"hi","6","English","fly का past tense चुनें।","Flied","Flew","Flown","Flys","Flew","easy","General"
"mr","6","English","fly चा past tense निवडा.","Flied","Flew","Flown","Flys","Flew","easy","General"
"en","6","English","What is the plural of tomato?","Tomatos","Tomatoes","Tomatos","Tomatose","Tomatoes","easy","General"
"hi","6","English","tomato का बहुवचन क्या है?","Tomatos","Tomatoes","Tomatos","Tomatose","Tomatoes","easy","General"
"mr","6","English","tomato चे अनेकवचन काय आहे?","Tomatos","Tomatoes","Tomatos","Tomatose","Tomatoes","easy","General"
"en","6","English","Choose the correct preposition: The keys are ___ the drawer.","In","At","Over","To","In","easy","General"
"hi","6","English","सही preposition चुनें: चाबियाँ drawer ___ हैं।","In","At","Over","To","In","easy","General"
"mr","6","English","योग्य preposition निवडा: किल्ल्या drawer ___ आहेत.","In","At","Over","To","In","easy","General"
"en","6","English","Choose the opposite of victory.","Win","Success","Defeat","Prize","Defeat","easy","General"
"hi","6","English","victory का विलोम चुनें।","Win","Success","Defeat","Prize","Defeat","easy","General"
"mr","6","English","victory चा विरुद्धार्थी शब्द निवडा.","Win","Success","Defeat","Prize","Defeat","easy","General"
"en","6","Math","Mathematics is largely the search for:","numbers","patterns","shapes","formulas","patterns","easy","Patterns in Mathematics"
"hi","6","Math","गणित मुख्यतः किसकी खोज है:","संख्याएँ","पैटर्न","आकृतियाँ","सूत्र","पैटर्न","easy","Patterns in Mathematics"
"mr","6","Math","गणित मुख्यतः कशाचा शोध आहे:","संख्या","नमुने","आकृती","सूत्र","नमुने","easy","Patterns in Mathematics"
"en","6","Math","Which branch studies patterns in whole numbers?","Geometry","Algebra","Number Theory","Trigonometry","Number Theory","easy","Patterns in Mathematics"
"hi","6","Math","पूर्ण संख्याओं के पैटर्न का अध्ययन किस शाखा में होता है:","ज्यामिति","बीजगणित","संख्या सिद्धांत","त्रिकोणमिति","संख्या सिद्धांत","easy","Patterns in Mathematics"
"mr","6","Math","पूर्ण संख्यांचे नमुने कोणत्या शाखेत अभ्यासले जातात:","भूमिती","बीजगणित","संख्या सिद्धांत","त्रिकोणमिती","संख्या सिद्धांत","easy","Patterns in Mathematics"
"en","6","Math","Sequence 1","3","5","7","... represents:","Even numbers","Odd numbers","Prime numbers"
"hi","6","Math","क्रम 1","3","5","7","... किसे दर्शाता है:","सम संख्याएँ","विषम संख्याएँ","अभाज्य संख्याएँ"
"mr","6","Math","क्रम 1","3","5","7","... काय दर्शवतो:","सम संख्या","विषम संख्या","अभाज्य संख्या"
