topic,question,option1,option2,option3,option4,correct_answer,difficulty,language
Excretion,What is excretion? (हिंदी),Removal of waste (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Removal of waste (हिंदी),medium,hi
Excretion,What is excretion? (मराठी),Removal of waste (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Removal of waste (मराठी),medium,mr
Respiration,What is respiration?,Incorrect option 2,Releasing energy from food,Incorrect option 1,Incorrect option 3,Releasing energy from food,easy,en
Respiration,What is respiration? (हिंदी),Incorrect option 2 (हिंदी),Releasing energy from food (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Releasing energy from food (हिंदी),easy,hi
Respiration,What is respiration? (मराठी),Incorrect option 2 (मराठी),Releasing energy from food (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Releasing energy from food (मराठी),easy,mr
Light,What is light?,Incorrect option 1,Form of energy,Incorrect option 3,Incorrect option 2,Form of energy,easy,en
Light,What is light? (हिंदी),Incorrect option 1 (हिंदी),Form of energy (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Form of energy (हिंदी),easy,hi
Light,What is light? (मराठी),Incorrect option 1 (मराठी),Form of energy (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Form of energy (मराठी),easy,mr
Respiration,What is respiration?,Incorrect option 3,Incorrect option 2,Releasing energy from food,Incorrect option 1,Releasing energy from food,medium,en
Respiration,What is respiration? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Releasing energy from food (हिंदी),Incorrect option 1 (हिंदी),Releasing energy from food (हिंदी),medium,hi
Respiration,What is respiration? (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Releasing energy from food (मराठी),Incorrect option 1 (मराठी),Releasing energy from food (मराठी),medium,mr
Fractions,What is a fraction?,Incorrect option 2,Incorrect option 1,Part of a whole,Incorrect option 3,Part of a whole,medium,en
Fractions,What is a fraction? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Part of a whole (हिंदी),Incorrect option 3 (हिंदी),Part of a whole (हिंदी),medium,hi
Fractions,What is a fraction? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Part of a whole (मराठी),Incorrect option 3 (मराठी),Part of a whole (मराठी),medium,mr
Linear Equations,What is a linear equation?,Equation of degree one,Incorrect option 2,Incorrect option 3,Incorrect option 1,Equation of degree one,medium,en
Linear Equations,What is a linear equation? (हिंदी),Equation of degree one (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Equation of degree one (हिंदी),medium,hi
Linear Equations,What is a linear equation? (मराठी),Equation of degree one (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Equation of degree one (मराठी),medium,mr
Algebra,What is algebra?,Incorrect option 3,Incorrect option 1,Use of symbols,Incorrect option 2,Use of symbols,medium,en
Algebra,What is algebra? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Use of symbols (हिंदी),Incorrect option 2 (हिंदी),Use of symbols (हिंदी),medium,hi
Algebra,What is algebra? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Use of symbols (मराठी),Incorrect option 2 (मराठी),Use of symbols (मराठी),medium,mr
Geometry,What is geometry?,Incorrect option 1,Incorrect option 2,Study of shapes,Incorrect option 3,Study of shapes,medium,en
Geometry,What is geometry? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Study of shapes (हिंदी),Incorrect option 3 (हिंदी),Study of shapes (हिंदी),medium,hi
Geometry,What is geometry? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Study of shapes (मराठी),Incorrect option 3 (मराठी),Study of shapes (मराठी),medium,mr
Fractions,What is a fraction?,Incorrect option 1,Part of a whole,Incorrect option 3,Incorrect option 2,Part of a whole,easy,en
Fractions,What is a fraction? (हिंदी),Incorrect option 1 (हिंदी),Part of a whole (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Part of a whole (हिंदी),easy,hi
Fractions,What is a fraction? (मराठी),Incorrect option 1 (मराठी),Part of a whole (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Part of a whole (मराठी),easy,mr
Linear Equations,What is a linear equation?,Incorrect option 2,Incorrect option 1,Equation of degree one,Incorrect option 3,Equation of degree one,medium,en
Linear Equations,What is a linear equation? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Equation of degree one (हिंदी),Incorrect option 3 (हिंदी),Equation of degree one (हिंदी),medium,hi
Linear Equations,What is a linear equation? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Equation of degree one (मराठी),Incorrect option 3 (मराठी),Equation of degree one (मराठी),medium,mr
Respiration,What is respiration?,Incorrect option 1,Incorrect option 3,Incorrect option 2,Releasing energy from food,Releasing energy from food,easy,en
Respiration,What is respiration? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Releasing energy from food (हिंदी),Releasing energy from food (हिंदी),easy,hi
Respiration,What is respiration? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Releasing energy from food (मराठी),Releasing energy from food (मराठी),easy,mr
Excretion,What is excretion?,Incorrect option 2,Incorrect option 1,Removal of waste,Incorrect option 3,Removal of waste,easy,en
Excretion,What is excretion? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Removal of waste (हिंदी),Incorrect option 3 (हिंदी),Removal of waste (हिंदी),easy,hi
Excretion,What is excretion? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Removal of waste (मराठी),Incorrect option 3 (मराठी),Removal of waste (मराठी),easy,mr
Force,What is force?,Push or pull,Incorrect option 3,Incorrect option 2,Incorrect option 1,Push or pull,medium,en
Force,What is force? (हिंदी),Push or pull (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Push or pull (हिंदी),medium,hi
Force,What is force? (मराठी),Push or pull (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Push or pull (मराठी),medium,mr
Geometry,What is geometry?,Study of shapes,Incorrect option 1,Incorrect option 3,Incorrect option 2,Study of shapes,medium,en
Geometry,What is geometry? (हिंदी),Study of shapes (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Study of shapes (हिंदी),medium,hi
Geometry,What is geometry? (मराठी),Study of shapes (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Study of shapes (मराठी),medium,mr
Light,What is light?,Incorrect option 2,Incorrect option 3,Incorrect option 1,Form of energy,Form of energy,easy,en
Light,What is light? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Form of energy (हिंदी),Form of energy (हिंदी),easy,hi
Light,What is light? (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Form of energy (मराठी),Form of energy (मराठी),easy,mr
Force,What is force?,Incorrect option 1,Incorrect option 2,Incorrect option 3,Push or pull,Push or pull,medium,en
Force,What is force? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Push or pull (हिंदी),Push or pull (हिंदी),medium,hi
Force,What is force? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Push or pull (मराठी),Push or pull (मराठी),medium,mr
Geometry,What is geometry?,Incorrect option 3,Study of shapes,Incorrect option 1,Incorrect option 2,Study of shapes,medium,en
Geometry,What is geometry? (हिंदी),Incorrect option 3 (हिंदी),Study of shapes (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Study of shapes (हिंदी),medium,hi
Geometry,What is geometry? (मराठी),Incorrect option 3 (मराठी),Study of shapes (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Study of shapes (मराठी),medium,mr
Electricity,What is electricity?,Flow of charge,Incorrect option 2,Incorrect option 3,Incorrect option 1,Flow of charge,easy,en
Electricity,What is electricity? (हिंदी),Flow of charge (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Flow of charge (हिंदी),easy,hi
Electricity,What is electricity? (मराठी),Flow of charge (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Flow of charge (मराठी),easy,mr
Linear Equations,What is a linear equation?,Incorrect option 3,Incorrect option 1,Equation of degree one,Incorrect option 2,Equation of degree one,medium,en
Linear Equations,What is a linear equation? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Equation of degree one (हिंदी),Incorrect option 2 (हिंदी),Equation of degree one (हिंदी),medium,hi
Linear Equations,What is a linear equation? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Equation of degree one (मराठी),Incorrect option 2 (मराठी),Equation of degree one (मराठी),medium,mr
Data Handling,What is data handling?,Incorrect option 2,Collecting and analyzing data,Incorrect option 1,Incorrect option 3,Collecting and analyzing data,easy,en
Data Handling,What is data handling? (हिंदी),Incorrect option 2 (हिंदी),Collecting and analyzing data (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Collecting and analyzing data (हिंदी),easy,hi
Data Handling,What is data handling? (मराठी),Incorrect option 2 (मराठी),Collecting and analyzing data (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Collecting and analyzing data (मराठी),easy,mr
Respiration,What is respiration?,Incorrect option 1,Releasing energy from food,Incorrect option 2,Incorrect option 3,Releasing energy from food,easy,en
Respiration,What is respiration? (हिंदी),Incorrect option 1 (हिंदी),Releasing energy from food (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Releasing energy from food (हिंदी),easy,hi
Respiration,What is respiration? (मराठी),Incorrect option 1 (मराठी),Releasing energy from food (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Releasing energy from food (मराठी),easy,mr
Excretion,What is excretion?,Removal of waste,Incorrect option 1,Incorrect option 2,Incorrect option 3,Removal of waste,easy,en
Excretion,What is excretion? (हिंदी),Removal of waste (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Removal of waste (हिंदी),easy,hi
Excretion,What is excretion? (मराठी),Removal of waste (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Removal of waste (मराठी),easy,mr
Data Handling,What is data handling?,Incorrect option 2,Incorrect option 3,Collecting and analyzing data,Incorrect option 1,Collecting and analyzing data,easy,en
Data Handling,What is data handling? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Collecting and analyzing data (हिंदी),Incorrect option 1 (हिंदी),Collecting and analyzing data (हिंदी),easy,hi
Data Handling,What is data handling? (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Collecting and analyzing data (मराठी),Incorrect option 1 (मराठी),Collecting and analyzing data (मराठी),easy,mr
Respiration,What is respiration?,Incorrect option 2,Incorrect option 1,Releasing energy from food,Incorrect option 3,Releasing energy from food,medium,en
Respiration,What is respiration? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Releasing energy from food (हिंदी),Incorrect option 3 (हिंदी),Releasing energy from food (हिंदी),medium,hi
Respiration,What is respiration? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Releasing energy from food (मराठी),Incorrect option 3 (मराठी),Releasing energy from food (मराठी),medium,mr
Electricity,What is electricity?,Incorrect option 1,Incorrect option 2,Flow of charge,Incorrect option 3,Flow of charge,medium,en
Electricity,What is electricity? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Flow of charge (हिंदी),Incorrect option 3 (हिंदी),Flow of charge (हिंदी),medium,hi
Electricity,What is electricity? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Flow of charge (मराठी),Incorrect option 3 (मराठी),Flow of charge (मराठी),medium,mr
Fractions,What is a fraction?,Incorrect option 1,Incorrect option 2,Part of a whole,Incorrect option 3,Part of a whole,easy,en
Fractions,What is a fraction? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Part of a whole (हिंदी),Incorrect option 3 (हिंदी),Part of a whole (हिंदी),easy,hi
Fractions,What is a fraction? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Part of a whole (मराठी),Incorrect option 3 (मराठी),Part of a whole (मराठी),easy,mr
Force,What is force?,Incorrect option 3,Incorrect option 1,Push or pull,Incorrect option 2,Push or pull,medium,en
Force,What is force? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Push or pull (हिंदी),Incorrect option 2 (हिंदी),Push or pull (हिंदी),medium,hi
Force,What is force? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Push or pull (मराठी),Incorrect option 2 (मराठी),Push or pull (मराठी),medium,mr
Algebra,What is algebra?,Incorrect option 1,Incorrect option 3,Incorrect option 2,Use of symbols,Use of symbols,medium,en
Algebra,What is algebra? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Use of symbols (हिंदी),Use of symbols (हिंदी),medium,hi
Algebra,What is algebra? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Use of symbols (मराठी),Use of symbols (मराठी),medium,mr
Transportation,What is transportation?,Incorrect option 2,Incorrect option 1,Incorrect option 3,Movement of substances,Movement of substances,medium,en
Transportation,What is transportation? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Movement of substances (हिंदी),Movement of substances (हिंदी),medium,hi
Transportation,What is transportation? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Movement of substances (मराठी),Movement of substances (मराठी),medium,mr
Linear Equations,What is a linear equation?,Incorrect option 3,Incorrect option 2,Equation of degree one,Incorrect option 1,Equation of degree one,medium,en
Linear Equations,What is a linear equation? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Equation of degree one (हिंदी),Incorrect option 1 (हिंदी),Equation of degree one (हिंदी),medium,hi
Linear Equations,What is a linear equation? (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Equation of degree one (मराठी),Incorrect option 1 (मराठी),Equation of degree one (मराठी),medium,mr
Light,What is light?,Form of energy,Incorrect option 3,Incorrect option 1,Incorrect option 2,Form of energy,medium,en
Light,What is light? (हिंदी),Form of energy (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Form of energy (हिंदी),medium,hi
Light,What is light? (मराठी),Form of energy (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Form of energy (मराठी),medium,mr
Light,What is light?,Incorrect option 2,Form of energy,Incorrect option 3,Incorrect option 1,Form of energy,medium,en
Light,What is light? (हिंदी),Incorrect option 2 (हिंदी),Form of energy (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Form of energy (हिंदी),medium,hi
Light,What is light? (मराठी),Incorrect option 2 (मराठी),Form of energy (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Form of energy (मराठी),medium,mr
Data Handling,What is data handling?,Incorrect option 1,Collecting and analyzing data,Incorrect option 2,Incorrect option 3,Collecting and analyzing data,easy,en
Data Handling,What is data handling? (हिंदी),Incorrect option 1 (हिंदी),Collecting and analyzing data (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Collecting and analyzing data (हिंदी),easy,hi
Data Handling,What is data handling? (मराठी),Incorrect option 1 (मराठी),Collecting and analyzing data (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Collecting and analyzing data (मराठी),easy,mr
Linear Equations,What is a linear equation?,Incorrect option 1,Equation of degree one,Incorrect option 3,Incorrect option 2,Equation of degree one,medium,en
Linear Equations,What is a linear equation? (हिंदी),Incorrect option 1 (हिंदी),Equation of degree one (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Equation of degree one (हिंदी),medium,hi
Linear Equations,What is a linear equation? (मराठी),Incorrect option 1 (मराठी),Equation of degree one (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Equation of degree one (मराठी),medium,mr
Excretion,What is excretion?,Incorrect option 2,Removal of waste,Incorrect option 1,Incorrect option 3,Removal of waste,medium,en
Excretion,What is excretion? (हिंदी),Incorrect option 2 (हिंदी),Removal of waste (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Removal of waste (हिंदी),medium,hi
Excretion,What is excretion? (मराठी),Incorrect option 2 (मराठी),Removal of waste (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Removal of waste (मराठी),medium,mr
Mensuration,What is mensuration?,Incorrect option 2,Measurement of shapes,Incorrect option 1,Incorrect option 3,Measurement of shapes,medium,en
Mensuration,What is mensuration? (हिंदी),Incorrect option 2 (हिंदी),Measurement of shapes (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Measurement of shapes (हिंदी),medium,hi
Mensuration,What is mensuration? (मराठी),Incorrect option 2 (मराठी),Measurement of shapes (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Measurement of shapes (मराठी),medium,mr
Excretion,What is excretion?,Incorrect option 2,Incorrect option 1,Incorrect option 3,Removal of waste,Removal of waste,easy,en
Excretion,What is excretion? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Removal of waste (हिंदी),Removal of waste (हिंदी),easy,hi
Excretion,What is excretion? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Removal of waste (मराठी),Removal of waste (मराठी),easy,mr
Linear Equations,What is a linear equation?,Incorrect option 2,Incorrect option 3,Incorrect option 1,Equation of degree one,Equation of degree one,medium,en
Linear Equations,What is a linear equation? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Equation of degree one (हिंदी),Equation of degree one (हिंदी),medium,hi
Linear Equations,What is a linear equation? (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Equation of degree one (मराठी),Equation of degree one (मराठी),medium,mr
Light,What is light?,Incorrect option 2,Form of energy,Incorrect option 3,Incorrect option 1,Form of energy,easy,en
Light,What is light? (हिंदी),Incorrect option 2 (हिंदी),Form of energy (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Form of energy (हिंदी),easy,hi
Light,What is light? (मराठी),Incorrect option 2 (मराठी),Form of energy (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Form of energy (मराठी),easy,mr
Energy,What is energy?,Incorrect option 1,Ability to do work,Incorrect option 2,Incorrect option 3,Ability to do work,easy,en
Energy,What is energy? (हिंदी),Incorrect option 1 (हिंदी),Ability to do work (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Ability to do work (हिंदी),easy,hi
Energy,What is energy? (मराठी),Incorrect option 1 (मराठी),Ability to do work (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Ability to do work (मराठी),easy,mr
Energy,What is energy?,Ability to do work,Incorrect option 2,Incorrect option 3,Incorrect option 1,Ability to do work,medium,en
Energy,What is energy? (हिंदी),Ability to do work (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Ability to do work (हिंदी),medium,hi
Energy,What is energy? (मराठी),Ability to do work (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Ability to do work (मराठी),medium,mr
Motion,What is motion?,Change in position,Incorrect option 2,Incorrect option 3,Incorrect option 1,Change in position,easy,en
Motion,What is motion? (हिंदी),Change in position (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Change in position (हिंदी),easy,hi
Motion,What is motion? (मराठी),Change in position (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Change in position (मराठी),easy,mr
Transportation,What is transportation?,Incorrect option 3,Movement of substances,Incorrect option 2,Incorrect option 1,Movement of substances,medium,en
Transportation,What is transportation? (हिंदी),Incorrect option 3 (हिंदी),Movement of substances (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Movement of substances (हिंदी),medium,hi
Transportation,What is transportation? (मराठी),Incorrect option 3 (मराठी),Movement of substances (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Movement of substances (मराठी),medium,mr
Electricity,What is electricity?,Incorrect option 3,Incorrect option 2,Flow of charge,Incorrect option 1,Flow of charge,easy,en
Electricity,What is electricity? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Flow of charge (हिंदी),Incorrect option 1 (हिंदी),Flow of charge (हिंदी),easy,hi
Electricity,What is electricity? (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Flow of charge (मराठी),Incorrect option 1 (मराठी),Flow of charge (मराठी),easy,mr
Excretion,What is excretion?,Incorrect option 1,Incorrect option 3,Incorrect option 2,Removal of waste,Removal of waste,easy,en
Excretion,What is excretion? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Removal of waste (हिंदी),Removal of waste (हिंदी),easy,hi
Excretion,What is excretion? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Removal of waste (मराठी),Removal of waste (मराठी),easy,mr
Nutrition,What is nutrition?,Incorrect option 1,Process of taking food,Incorrect option 2,Incorrect option 3,Process of taking food,medium,en
Nutrition,What is nutrition? (हिंदी),Incorrect option 1 (हिंदी),Process of taking food (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Process of taking food (हिंदी),medium,hi
Nutrition,What is nutrition? (मराठी),Incorrect option 1 (मराठी),Process of taking food (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Process of taking food (मराठी),medium,mr
Fractions,What is a fraction?,Part of a whole,Incorrect option 3,Incorrect option 2,Incorrect option 1,Part of a whole,easy,en
Fractions,What is a fraction? (हिंदी),Part of a whole (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Part of a whole (हिंदी),easy,hi
Fractions,What is a fraction? (मराठी),Part of a whole (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Part of a whole (मराठी),easy,mr
Electricity,What is electricity?,Incorrect option 1,Incorrect option 2,Flow of charge,Incorrect option 3,Flow of charge,easy,en
Electricity,What is electricity? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Flow of charge (हिंदी),Incorrect option 3 (हिंदी),Flow of charge (हिंदी),easy,hi
Electricity,What is electricity? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Flow of charge (मराठी),Incorrect option 3 (मराठी),Flow of charge (मराठी),easy,mr
Mensuration,What is mensuration?,Incorrect option 2,Incorrect option 1,Incorrect option 3,Measurement of shapes,Measurement of shapes,easy,en
